"Category ID","name","erp_id","category_sequence","imageurl","is_active","created","modified"
"1","Healthcare","H1","0","",1,"2023-12-15 15:11:32","2024-11-20 00:15:12"
"2","Personal Care","","0","",1,"2023-12-15 15:11:32","2023-12-20 16:42:00"
"3","Home Care","","0","",1,"2023-12-20 16:42:31","2023-12-20 16:42:31"
"4","Beverages","","0","",1,"2023-12-20 16:42:48","2023-12-20 16:42:48"
"5","Dairy Products","","0","",1,"2023-12-20 17:28:40","2023-12-20 17:28:40"
"6","Baby Care_Bornfree","","0","",1,"2024-05-21 12:54:22","2024-07-11 16:40:23"
"7","Baby Care_Dimpu","","0","",1,"2024-07-08 17:57:08","2024-07-08 17:57:08"
"8","Choco Cookies","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:45:45"
"9","Digestive Cookies","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:46:06"
"10","Fruit & Nut","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:46:26"
"11","Butter Cookies","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:46:44"
"12","Cashew Cookies","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:46:57"
"13","Pista Badam","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:47:05"
"14","Jeera Cookies","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:47:14"
"15","Honey Oatmeal","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:47:23"
"16","Milk Cookies","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:47:36"
"17","Butter Classic Cookies","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:47:59"
"18","Biscott Family","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:48:07"
"19","Orange Splash Cookies","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:48:16"
"20","Choco Kiss","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:48:26"
"21","Wafers","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:50:56"
"22","Coconut Cookies","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:56:39"
"23","Snappers","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:57:20"
"24","Unibic Biscott","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:57:54"
"25","Sugar Free","","0","",'0,"2024-07-15 18:02:29","2024-07-15 21:58:54"
"26","Cookies","","0","",1,"2024-07-15 18:06:28","2024-07-15 18:06:28"
"27","Display","","0","",1,"2024-07-15 18:06:28","2024-07-15 18:06:28"
"28","Crackers","","0","",1,"2024-07-15 18:06:28","2024-07-15 18:06:28"
"29","Int_Category","","0","",1,"2024-10-03 18:18:27","2025-01-22 15:50:27"
"30","Test category","TEST123","0","",1,"2024-11-14 13:23:25","2024-11-14 13:24:36"
"31","Demo","","0","",1,"2024-11-18 17:56:42","2024-11-18 17:56:42"
"32","Refined Sunflower Oil","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"33","Groundnut Oil","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"34","Gingelly Oil","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"35","Coconut Oil","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"36","Refined Rice Bran Oil","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"37","Refined Groundnut Oil","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"38","Mustard Oil","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"39","Classic Fragrance","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"40","Temple Fragrance","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"41","Murugan Fragrance","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"42","Amman Fragrance","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"43","Gulas Jaggery Powder","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"44","Gulas Palm Jaggery Powder","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"45","Gulab Jamun","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"46","Badam Drink Mix","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"47","Instant Mix","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"48","Ready Meals","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"49","Dairy","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"50","Dairy Mate","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"51","Dairy Whitener","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"52","Open & Eat","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"53","Vermicelli","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"54","Spice Mix","","0","",1,"2024-11-19 12:12:47","2024-11-19 12:12:47"
"55","Culinary Suaces","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"56","Baking Essential","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"57","Spices & Herbs","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"58","Flavoured Syrups","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"59","Gourmet Sugars","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"60","Fruit Crushes","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"61","Tomato Soup Po","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"62","Powder Mixes","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"63","Bar Accessories","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"64","Salad Oil","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"65","Dessert Topping","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"66","Bar Syrups","","0","",1,"2024-11-19 15:18:14","2024-11-19 15:18:14"
"67","Internal Categories","","0","",1,"2024-12-17 14:29:30","2024-12-17 14:29:30"
"68","Health care","","0","",1,"2024-12-20 14:16:34","2024-12-20 14:16:34"
"69","Category1_220125","","0","",1,"2025-01-27 11:51:29","2025-01-27 11:51:29"
"70","Category2_310125","","0","",1,"2025-01-31 18:58:22","2025-01-31 18:58:22"
"71","Category3_310125","","0","",1,"2025-01-31 19:39:42","2025-01-31 19:39:42"
"72","Category4_310125","","0","",1,"2025-01-31 23:22:39","2025-01-31 23:22:39"
"73","Category5_010225","","0","",1,"2025-02-01 23:36:09","2025-02-01 23:36:09"
"74","Category6_180225","","0","",1,"2025-02-18 20:36:22","2025-02-18 20:36:22"